대분류,중분류,소분류,항목명,상세내용,구분,우선순위,비고
데이터구조,ExaminationHistory,테이블 생성,ExaminationHistory 테이블,심사 이력을 기록하는 테이블. 학생별/단계별로 모든 심사 시도(초기 심사 + 재심)를 기록,신규,P0,Phase 1 필수
데이터구조,ExaminationHistory,기본 필드,id,심사 이력 고유 ID,신규,P0,
데이터구조,ExaminationHistory,기본 필드,studentId,학생 ID,신규,P0,
데이터구조,ExaminationHistory,기본 필드,stageOrder,단계 순서 (워크플로우 템플릿의 order),신규,P0,
데이터구조,ExaminationHistory,기본 필드,stageName,단계명 (예: 본심사),신규,P0,
데이터구조,ExaminationHistory,기본 필드,examRound,심사 차수 (1: 초기, 2: 1차 재심, 3: 2차 재심),신규,P0,핵심 필드
데이터구조,ExaminationHistory,기본 필드,examType,"심사 유형 ('initial' | 'reexam')",신규,P0,
데이터구조,ExaminationHistory,심사 정보,committeeChair,심사위원장 교수 ID,신규,P0,
데이터구조,ExaminationHistory,심사 정보,committeeMembers,심사위원 교수 ID 배열,신규,P0,
데이터구조,ExaminationHistory,심사 정보,submissionDate,논문 제출일,신규,P1,
데이터구조,ExaminationHistory,심사 정보,evaluationDate,평가 완료일,신규,P0,
데이터구조,ExaminationHistory,심사 정보,semester,학기 (예: 2026-1),신규,P1,
데이터구조,ExaminationHistory,평가 결과,result,"평가 결과 ('합격' | '조건부합격' | '불합격')",신규,P0,핵심 필드
데이터구조,ExaminationHistory,재심 정보,reexamInfo,재심 정보 객체 (조건부합격인 경우만),신규,P0,핵심 필드
데이터구조,ExaminationHistory,재심 정보 - method,reexamInfo.method,"재심 방식 ('대면' | '서면')",신규,P0,초기 구현: UI에서 선택
데이터구조,ExaminationHistory,재심 정보 - evaluationType,reexamInfo.evaluationType,"평가자 유형 ('full': 전체 심사위원 | 'chair_only': 위원장만)",신규,P0,초기 구현: method 기반 자동 설정
데이터구조,ExaminationHistory,재심 정보 - deadline,reexamInfo.deadline,재심 논문 제출 기한 (날짜),신규,P0,
데이터구조,ExaminationHistory,재심 정보 - requirements,reexamInfo.requirements,보완 요구사항 (텍스트),신규,P0,
데이터구조,ExaminationHistory,재심 정보 - status,reexamInfo.status,"재심 상태 ('pending': 대기 | 'submitted': 제출 완료 | 'completed': 평가 완료)",신규,P0,
데이터구조,ExaminationHistory,인덱스,idx_student_stage,"studentId + stageOrder 복합 인덱스",신규,P1,조회 성능 최적화
데이터구조,ThesisStage,워크플로우 템플릿,stages[].allowReexam,각 단계별 재심 허용 여부 (boolean),수정,P1,관리자 설정
데이터구조,StudentThesisStage,학생 단계 정보,currentStageOrder,학생의 현재 단계 순서 (워크플로우 템플릿과 동일),확인,P0,재심 중에도 변경 없음
데이터구조,StudentThesisStage,학생 단계 정보,currentStageName,학생의 현재 단계명,확인,P0,
데이터구조,StudentThesisStage,재신청 관련,canProceed,다음 단계 진행 가능 여부 (boolean),신규,P0,불합격 시 false
데이터구조,StudentThesisStage,재신청 관련,needsReapplication,재신청 필요 여부 (boolean),신규,P0,불합격 시 true
데이터구조,StudentThesisStage,재신청 관련,reapplicationStage,재신청이 필요한 단계 순서 (number),신규,P0,불합격 시 설정
데이터구조,ThesisApplication,논문 신청 테이블,ThesisApplication 테이블,논문 신청부터 평가까지의 전체 라이프사이클 관리. 재신청 시 새로운 레코드 생성,신규,P1,재신청 프로세스 필수
