시나리오,단계,액터,액션,현재 문제점,해결 방안,데이터 구조,화면/기능,우선순위,비고
석사 본심사 재심 시나리오,1. 본심사 평가,심사위원,"본심사 평가 완료, 결과: 조건부합격",재심 개념 없음. 조건부합격 시 처리 방법 불명확,"ExaminationHistory 테이블에 examRound=1, result='조건부합격' 저장. currentStageOrder는 4(본심사) 유지",ExaminationHistory 테이블 생성. examRound 필드로 심사 차수 관리,교수 화면: 평가 결과 입력 시 조건부합격 선택 가능,P0,Phase 1
석사 본심사 재심 시나리오,2. 재심 정보 설정,심사위원장,"재심 방식(대면/서면), 재심 일정, 보완 요구사항 입력",조건부합격 판정 후 재심 정보를 어디에 저장할지 불명확,"reexamInfo 객체에 method('대면'/'서면'), evaluationType(자동 설정), deadline, requirements 저장. 초기 구현: method='대면'→evaluationType='full', method='서면'→evaluationType='chair_only' 자동 설정","ExaminationHistory.reexamInfo = { method, evaluationType, deadline, requirements, status: 'pending' }",교수 화면: 재심 정보 설정 모달. 재심 방식 라디오 버튼(대면/서면) + 재심 일정 Datepicker + 보완 요구사항 Textarea,P0,Phase 1
석사 본심사 재심 시나리오,3. 학생 알림,시스템,학생에게 재심 안내 알림 발송,알림 내용 및 표시 방법 불명확,"알림 발송: 재심 방식, 제출 기한, 보완 요구사항 포함",Notification 테이블,학생 화면: 알림 수신 → 재심 안내 영역 표시 (재심 방식/평가자/일정/요구사항),P0,Phase 1
석사 본심사 재심 시나리오,4. 재심 상태 표시,학생,논문 진행 단계에서 재심 상태 확인,학생이 재심 진행 중임을 알 수 없음,"currentStageOrder=4 유지, 단계명은 '본심사' 그대로. UI에서 최신 ExaminationHistory 조회하여 result='조건부합격' && reexamInfo.status='pending'이면 '(재심 진행 중)' 배지 표시","StudentThesisStage.currentStageOrder = 4 (변경 없음), ExaminationHistory에서 재심 상태 조회","학생 화면: 진행 단계 다이어그램에서 본심사 단계에 '재심 진행 중' 배지 표시, 재심 안내 영역 표시 (방식/일정/요구사항)",P0,Phase 1
석사 본심사 재심 시나리오,5. 수정논문 제출,학생,재심 기한 내 수정논문 제출,재심 논문을 어디에 제출할지 불명확,reexamInfo.status를 'submitted'로 변경. 수정논문은 별도 파일로 업로드,"ExaminationHistory.reexamInfo.status = 'submitted', 수정논문 URL 저장",학생 화면: 수정논문 제출 버튼 → 파일 업로드 → 제출 완료 확인,P0,Phase 1
석사 본심사 재심 시나리오,6. 재심 평가 대기,심사위원,재심 제출 알림 수신 후 평가 대기,재심 평가 권한 관리 불명확,"evaluationType='full': 모든 심사위원이 평가 가능, evaluationType='chair_only': 심사위원장만 평가 가능. canEvaluateReexam() 함수로 권한 확인",ExaminationHistory.reexamInfo.evaluationType 기반 권한 제어,"교수 화면: 재심 평가 화면 진입 시 권한 확인, 권한 있는 교수에게만 평가 버튼 표시",P1,Phase 2
석사 본심사 재심 시나리오,7. 재심 평가,심사위원(장),"재심 평가 완료, 결과: 합격",재심 평가 결과를 어떻게 저장할지 불명확,"새로운 ExaminationHistory 레코드 생성. examRound=2, examType='reexam', result='합격'. 합격 시 currentStageOrder=5(최종논문)로 이동","ExaminationHistory 새 레코드: { examRound: 2, examType: 'reexam', result: '합격' }",교수 화면: 재심 평가 입력 화면 → 합격/조건부합격/불합격 선택 → 제출,P1,Phase 2
석사 본심사 재심 시나리오,8. 다음 단계 이동,시스템,학생을 최종논문 단계로 이동,단계 이동 로직이 재심을 고려하지 않음,"processEvaluationResult() 함수에서 result='합격' 시 currentStageOrder를 stageOrder + 1로 변경. changeStage(studentId, 5) 호출",StudentThesisStage.currentStageOrder = 5,학생 화면: 진행 단계 다이어그램 업데이트 (본심사 완료 → 최종논문 진행 중),P0,Phase 1
재심 불합격 후 재신청 시나리오,1. 재심 평가,심사위원(장),"재심 평가 완료, 결과: 불합격",재심 불합격 후 처리 방법 불명확,"ExaminationHistory에 examRound=2, result='불합격' 저장. StudentThesisStage에 needsReapplication=true, canProceed=false 설정. currentStageOrder=4 유지","ExaminationHistory: { examRound: 2, result: '불합격' }, StudentThesisStage: { needsReapplication: true, canProceed: false, reapplicationStage: 4 }",학생 화면: 불합격 표시 (본심사 단계에 ✗ 마크),P1,Phase 2
재심 불합격 후 재신청 시나리오,2. 재신청 안내,시스템,학생에게 재신청 필요 알림 발송,재신청 프로세스 없음,"알림 발송: 다음 학기 재신청 필요 안내, 재신청 가능 학기 표시",Notification 테이블,"학생 화면: 재신청 안내 영역 표시 (다음 학기 재신청 필요, 재신청 가능 학기: 2026-1학기)",P1,Phase 2
재심 불합격 후 재신청 시나리오,3. 다음 학기 대기,학생,다음 학기까지 대기,재신청 버튼 활성화 조건 불명확,"현재 학기 < 재신청 가능 학기: 재신청 버튼 비활성, 현재 학기 >= 재신청 가능 학기: 재신청 버튼 활성화",학기 정보 테이블,학생 화면: 재신청 버튼 (비활성 상태) + 재신청 가능 학기 표시,P1,Phase 2
재심 불합격 후 재신청 시나리오,4. 재신청 신청서 작성,학생,"재신청 버튼 클릭 → 논문 제목, 초록, 키워드 입력 → 제출",재신청 신청서 화면 없음,"ThesisApplication 새 레코드 생성: isReapplication=true, previousApplications=['APP_001'], status='application_submitted'. 제목/초록/키워드는 학생 입력. needsReapplication=false, canProceed=true로 복구","ThesisApplication: { id: 'APP_002', isReapplication: true, previousApplications: ['APP_001'], title, abstract, keywords, status: 'application_submitted' }","학생 화면: 재신청 신청서 화면 (제목/초록/키워드 입력 폼 + 이전 신청 정보 표시), 제출 버튼",P1,Phase 2
재심 불합격 후 재신청 시나리오,5. 관리자 알림,시스템,관리자에게 재신청 접수 알림 발송,재신청 건 처리 프로세스 불명확,알림 발송: 재신청 접수 안내 + 심사위원 구성 필요 알림,Notification 테이블,관리자 화면: 재신청 접수 알림 수신 → 재신청 건 목록에서 확인 가능,P1,Phase 2
재심 불합격 후 재신청 시나리오,6. 심사위원 구성,관리자,재신청 건에 대한 심사위원 구성 (새로 구성 가능),재신청 시 심사위원 구성 기능 없음,"ThesisApplication 업데이트: committeeChair, committeeMembers 설정, status='committee_assigned'","ThesisApplication: { committeeChair: 'PROF004', committeeMembers: ['PROF004', 'PROF005', 'PROF006'], status: 'committee_assigned' }",관리자 화면: 재신청 건 상세 → 심사위원 구성 버튼 → 심사위원 선택 → 저장,P1,Phase 2
재심 불합격 후 재신청 시나리오,7. 학생 알림 (심사위원 구성 완료),시스템,학생에게 심사위원 구성 완료 알림 + 논문 제출 안내,재신청 진행 상황 표시 불명확,알림 발송: 심사위원 구성 완료 + 논문 제출 안내,Notification 테이블,"학생 화면: 재신청 진행 상황 화면 (신청✅ → 위원구성✅ → 논문제출⏳ → 심사○ → 결과○), 논문 제출 버튼 활성화",P1,Phase 2
재심 불합격 후 재신청 시나리오,8. 논문 제출,학생,논문 PDF 및 첨부 서류 제출,재신청 논문 제출 화면 없음,"ThesisApplication 업데이트: thesisPdfUrl, attachments 설정, status='thesis_submitted'","ThesisApplication: { thesisPdfUrl: 'https://...', attachments: [...], status: 'thesis_submitted' }",학생 화면: 논문 제출 화면 (PDF 업로드 + 첨부 서류 업로드) → 제출 버튼,P1,Phase 2
재심 불합격 후 재신청 시나리오,9. 심사 일정 설정,심사위원장,심사 일정 및 장소 설정,재신청 건 심사 일정 설정 기능 없음,"ThesisApplication 업데이트: examDate, examLocation 설정, status='exam_scheduled'","ThesisApplication: { examDate: '2026-02-20', examLocation: '온라인', status: 'exam_scheduled' }",교수 화면: 재신청 건 상세 → 심사 일정 설정 버튼 → 일정/장소 입력 → 저장,P1,Phase 2
재심 불합격 후 재신청 시나리오,10. 심사 평가,심사위원,"심사 평가 완료, 결과: 합격",재신청 건 평가 로직 불명확,"ExaminationHistory 생성: examRound=1 (재신청이므로 1로 리셋), examType='initial', result='합격'. ThesisApplication 업데이트: status='completed'","ExaminationHistory: { examRound: 1, examType: 'initial', result: '합격', semester: '2026-1' }, ThesisApplication: { status: 'completed' }",교수 화면: 심사 평가 입력 화면 (기존과 동일) → 합격 선택 → 제출,P1,Phase 2
재심 불합격 후 재신청 시나리오,11. 다음 단계 이동,시스템,학생을 최종논문 단계로 이동,재신청 후 단계 이동 로직 불명확,"currentStageOrder를 5(최종논문)로 변경. changeStage(studentId, 5) 호출",StudentThesisStage.currentStageOrder = 5,학생 화면: 진행 단계 다이어그램 업데이트 (본심사 완료 → 최종논문 진행 중),P1,Phase 2
